ticker,cik,priority
LMT,0000936468,high
NOC,0001133421,high
RTX,0000101829,high
BA,0000012927,high
GD,0000040533,high
LDOS,0001336920,high
HII,0001501585,high
PLTR,0001321655,high
AAPL,0000320193,medium
MSFT,0000789019,medium
NVDA,0001045810,high
GOOGL,0001652044,medium
AMZN,0001018724,medium
META,0001326801,medium
TSLA,0001318605,medium
AMD,0000002488,medium
INTC,0000050863,medium
CRM,0001108524,medium
ORCL,0001341439,medium
ADBE,0000796343,medium
JPM,0000019617,medium
BRK-B,0001067983,medium
V,0001403161,medium
MA,0001141391,medium
JNJ,0000200406,medium
PFE,0000078003,medium
LLY,0000059478,high
MRK,0000310158,medium
UNH,0000731766,medium
XOM,0000034088,medium
